Date	matchname	Gender	WinningTeam	Byrun	Bywicket	Overs	Team1	Team2	TossWinner	TossDecision	Venue	MatchId
2017-01-13	Pakistan in Australia ODI Series--1	male	Australia	92.0		50	Australia	Pakistan	Australia	bat	Brisbane Cricket Ground, Woolloongabba	1.0
2017-01-15	Pakistan in Australia ODI Series--2	male	Pakistan		6.0	50	Australia	Pakistan	Australia	bat	Melbourne Cricket Ground	2.0
2017-01-19	Pakistan in Australia ODI Series--3	male	Australia		7.0	50	Australia	Pakistan	Australia	field	Western Australia Cricket Association Ground	3.0
2017-01-22	Pakistan in Australia ODI Series--4	male	Australia	86.0		50	Australia	Pakistan	Australia	bat	Sydney Cricket Ground	4.0
2017-01-26	Pakistan in Australia ODI Series--5	male	Australia	57.0		50	Australia	Pakistan	Australia	bat	Adelaide Oval	5.0
2016-12-04	Chappell-Hadlee Trophy--6	male	Australia	68.0		50	Australia	New Zealand	Australia	bat	Sydney Cricket Ground	6.0
2016-12-06	Chappell-Hadlee Trophy--7	male	Australia	116.0		50	Australia	New Zealand	New Zealand	field	Manuka Oval	7.0
2016-12-09	Chappell-Hadlee Trophy--8	male	Australia	117.0		50	Australia	New Zealand	Australia	bat	Melbourne Cricket Ground	8.0
2016-07-04	Afghanistan in Scotland ODI Series--9	male	no result			50	Scotland	Afghanistan	Scotland	field	Grange Cricket Club Ground, Raeburn Place	9.0
2016-07-06	Afghanistan in Scotland ODI Series--10	male	Afghanistan	78.0		50	Scotland	Afghanistan	Afghanistan	bat	Grange Cricket Club Ground, Raeburn Place	10.0
2016-09-08	Hong Kong in Scotland ODI Series--11	male	no result			50	Scotland	Hong Kong	Hong Kong	field	Grange Cricket Club Ground, Raeburn Place	11.0
2016-09-10	Hong Kong in Scotland ODI Series--12	male	Scotland	53.0		50	Scotland	Hong Kong	Scotland	bat	Grange Cricket Club Ground, Raeburn Place	12.0
2016-06-11	India in Zimbabwe ODI Series--13	male	India		9.0	50	Zimbabwe	India	India	field	Harare Sports Club	13.0
2016-06-13	India in Zimbabwe ODI Series--14	male	India		8.0	50	Zimbabwe	India	India	field	Harare Sports Club	14.0
2016-06-15	India in Zimbabwe ODI Series--15	male	India		10.0	50	Zimbabwe	India	Zimbabwe	bat	Harare Sports Club	15.0
